"SgnDate","Term","Shibor"
"2006-12-30","14天","2.07440"
"2006-12-30","1天","1.56510"
"2006-12-30","7天","1.91820"
"2006-12-30","90天","2.80810"
"2006-12-30","6个月","2.86830"
"2006-12-30","1年","3.00210"
"2006-12-30","9个月","2.93010"
"2006-12-30","30天","2.58480"
"2006-12-31","1天","1.56750"
"2006-12-31","14天","1.97530"
"2006-12-31","1年","3.00210"
"2006-12-31","90天","2.80820"
"2006-12-31","9个月","2.93010"
"2006-12-31","30天","2.58330"
"2006-12-31","6个月","2.86850"
"2006-12-31","7天","1.63210"
"2007-01-04","14天","2.16670"
"2007-01-04","1天","1.43100"
"2007-01-04","30天","2.57740"
"2007-01-04","90天","2.80770"
"2007-01-04","7天","1.52380"
"2007-01-04","6个月","2.86850"
"2007-01-04","9个月","2.93060"
"2007-01-04","1年","3.00220"
"2007-01-05","30天","2.57170"
"2007-01-05","6个月","2.86860"
"2007-01-05","90天","2.80790"
"2007-01-05","9个月","2.93050"
"2007-01-05","7天","1.50570"
"2007-01-05","1年","3.00230"
"2007-01-05","1天","1.40470"
"2007-01-05","14天","2.04920"
"2007-01-08","30天","2.55880"
"2007-01-08","6个月","2.86870"
"2007-01-08","14天","2.03030"
"2007-01-08","1年","3.00230"
"2007-01-08","1天","1.37210"
"2007-01-08","7天","1.45240"
"2007-01-08","90天","2.80800"
"2007-01-08","9个月","2.93060"
"2007-01-09","30天","2.55720"
"2007-01-09","6个月","2.86870"
"2007-01-09","9个月","2.93070"
"2007-01-09","14天","1.97810"
"2007-01-09","1年","3.00240"
"2007-01-09","7天","1.44050"
"2007-01-09","90天","2.80830"
"2007-01-09","1天","1.35460"
"2007-01-10","14天","1.93120"
"2007-01-10","1天","1.35190"
"2007-01-10","6个月","2.86880"
"2007-01-10","30天","2.54630"
"2007-01-10","1年","3.00250"
"2007-01-10","7天","1.42620"
"2007-01-10","90天","2.80820"
"2007-01-10","9个月","2.93080"
"2007-01-11","30天","2.53430"
"2007-01-11","6个月","2.86880"
"2007-01-11","90天","2.80810"
"2007-01-11","9个月","2.93080"
"2007-01-11","7天","1.41220"
"2007-01-11","1年","3.00240"
"2007-01-11","14天","1.90180"
"2007-01-11","1天","1.33440"
"2007-01-12","30天","2.52540"
"2007-01-12","6个月","2.86880"
"2007-01-12","14天","1.77840"
"2007-01-12","1年","3.00240"
"2007-01-12","1天","1.30510"
"2007-01-12","7天","1.40470"
"2007-01-12","9个月","2.93080"
"2007-01-12","90天","2.80790"
"2007-01-15","30天","2.52070"
"2007-01-15","6个月","2.86890"
"2007-01-15","1天","1.29970"
"2007-01-15","1年","3.00240"
"2007-01-15","9个月","2.93090"
"2007-01-15","14天","1.75000"
"2007-01-15","7天","1.38000"
"2007-01-15","90天","2.80780"
"2007-01-16","6个月","2.86890"
"2007-01-16","30天","2.51680"
"2007-01-16","14天","1.66680"
"2007-01-16","1天","1.28090"
"2007-01-16","1年","3.00240"
"2007-01-16","7天","1.37330"
"2007-01-16","90天","2.80790"
"2007-01-16","9个月","2.93090"
"2007-01-17","30天","2.51670"
"2007-01-17","6个月","2.86890"
"2007-01-17","90天","2.80790"
"2007-01-17","9个月","2.93110"
"2007-01-17","7天","1.49860"
"2007-01-17","1年","3.00240"
"2007-01-17","14天","1.77320"
"2007-01-17","1天","1.31710"
"2007-01-18","30天","2.51710"
"2007-01-18","6个月","2.86900"
"2007-01-18","14天","1.99360"
"2007-01-18","1年","3.00240"
"2007-01-18","1天","1.42360"
"2007-01-18","7天","1.50480"
"2007-01-18","9个月","2.93120"
"2007-01-18","90天","2.80800"
"2007-01-19","30天","2.51730"
"2007-01-19","6个月","2.86910"
"2007-01-19","1天","1.41260"
"2007-01-19","1年","3.00240"
"2007-01-19","9个月","2.93130"
"2007-01-19","14天","2.06110"
"2007-01-19","7天","1.54850"
"2007-01-19","90天","2.80800"
"2007-01-22","6个月","2.86920"
"2007-01-22","30天","2.51800"
"2007-01-22","14天","2.11570"
"2007-01-22","1天","1.41970"
"2007-01-22","1年","3.00240"
"2007-01-22","7天","1.77260"
"2007-01-22","90天","2.80810"
"2007-01-22","9个月","2.93140"
"2007-01-23","30天","2.51800"
"2007-01-23","6个月","2.86920"
"2007-01-23","90天","2.80810"
"2007-01-23","9个月","2.93140"
"2007-01-23","7天","1.96480"
"2007-01-23","1年","3.00240"
"2007-01-23","14天","2.14020"
"2007-01-23","1天","1.59720"
"2007-01-24","30天","2.51840"
"2007-01-24","6个月","2.86930"
"2007-01-24","14天","2.16990"
"2007-01-24","1年","3.00240"
"2007-01-24","1天","1.70790"
"2007-01-24","7天","2.00610"
"2007-01-24","9个月","2.93150"
"2007-01-24","90天","2.80820"
"2007-01-25","1天","1.75410"
"2007-01-25","14天","2.18220"
"2007-01-25","90天","2.80820"
"2007-01-25","9个月","2.93160"
"2007-01-25","6个月","2.86940"
"2007-01-25","7天","2.01590"
"2007-01-25","1年","3.00250"
"2007-01-25","30天","2.51850"
"2007-01-26","90天","2.80820"
"2007-01-26","9个月","2.93170"
"2007-01-26","1天","1.78890"
"2007-01-26","6个月","2.86940"
"2007-01-26","30天","2.51860"
"2007-01-26","1年","3.00250"
"2007-01-26","7天","2.07030"
"2007-01-26","14天","2.20090"
"2007-01-29","90天","2.80820"
"2007-01-29","9个月","2.93170"
"2007-01-29","6个月","2.86950"
"2007-01-29","7天","2.10300"
"2007-01-29","30天","2.51940"
"2007-01-29","14天","2.19630"
"2007-01-29","1年","3.00250"
"2007-01-29","1天","1.78300"
"2007-01-30","9个月","2.93180"
"2007-01-30","30天","2.51950"
"2007-01-30","6个月","2.86960"
"2007-01-30","90天","2.80830"
"2007-01-30","1年","3.00250"
"2007-01-30","14天","2.18390"
"2007-01-30","7天","2.10220"
"2007-01-30","1天","1.78380"
"2007-01-31","90天","2.80830"
"2007-01-31","9个月","2.93190"
"2007-01-31","14天","2.16950"
"2007-01-31","6个月","2.86960"
"2007-01-31","7天","2.09190"
"2007-01-31","1天","1.77800"
"2007-01-31","1年","3.00250"
"2007-01-31","30天","2.51960"
"2007-02-01","90天","2.80830"
"2007-02-01","9个月","2.93190"
"2007-02-01","1天","1.76020"
"2007-02-01","6个月","2.86970"
"2007-02-01","30天","2.52360"
"2007-02-01","1年","3.00250"
"2007-02-01","7天","2.08170"
"2007-02-01","14天","2.24980"
"2007-02-02","90天","2.80830"
"2007-02-02","9个月","2.93190"
"2007-02-02","6个月","2.86970"
"2007-02-02","7天","1.99160"
"2007-02-02","30天","2.52860"
"2007-02-02","14天","2.33410"
"2007-02-02","1年","3.00250"
"2007-02-02","1天","1.75490"
"2007-02-05","90天","2.80840"
"2007-02-05","6个月","2.86970"
"2007-02-05","9个月","2.93200"
"2007-02-05","7天","2.07180"
"2007-02-05","30天","2.66520"
"2007-02-05","1年","3.00250"
"2007-02-05","14天","2.62250"
"2007-02-05","1天","1.75930"
"2007-02-06","1天","1.78480"
"2007-02-06","1年","3.00250"
"2007-02-06","7天","2.17450"
"2007-02-06","90天","2.80850"
"2007-02-06","14天","2.99100"
"2007-02-06","9个月","2.93200"
"2007-02-06","30天","2.84050"
"2007-02-06","6个月","2.86980"
"2007-02-07","1年","3.00250"
"2007-02-07","1天","1.83920"
"2007-02-07","14天","3.33430"
"2007-02-07","30天","3.08620"
"2007-02-07","6个月","2.86980"
"2007-02-07","9个月","2.93210"
"2007-02-07","7天","2.53760"
"2007-02-07","90天","2.81530"
"2007-02-08","1天","1.89830"
"2007-02-08","1年","3.00250"
"2007-02-08","14天","3.52130"
"2007-02-08","7天","3.52440"
"2007-02-08","90天","2.82040"
"2007-02-08","9个月","2.93210"
"2007-02-08","30天","3.26600"
"2007-02-08","6个月","2.86990"
"2007-02-09","1年","3.00250"
"2007-02-09","1天","2.78510"
"2007-02-09","14天","3.87890"
"2007-02-09","30天","3.61750"
"2007-02-09","6个月","2.87000"
"2007-02-09","90天","2.84330"
"2007-02-09","9个月","2.93220"
"2007-02-09","7天","4.14850"
"2007-02-12","1天","4.00160"
"2007-02-12","1年","3.00260"
"2007-02-12","6个月","2.87030"
"2007-02-12","7天","4.46920"
"2007-02-12","90天","2.87570"
"2007-02-12","9个月","2.93240"
"2007-02-12","30天","4.04910"
"2007-02-12","14天","4.34100"
"2007-02-13","1天","3.36850"
"2007-02-13","1年","3.00260"
"2007-02-13","9个月","2.93250"
"2007-02-13","14天","3.80340"
"2007-02-13","90天","2.87450"
"2007-02-13","30天","4.00890"
"2007-02-13","7天","3.46220"
"2007-02-13","6个月","2.87190"
"2007-02-14","1天","4.01740"
"2007-02-14","1年","3.00270"
"2007-02-14","14天","3.87090"
"2007-02-14","7天","3.99640"
"2007-02-14","90天","2.87720"
"2007-02-14","9个月","2.93260"
"2007-02-14","30天","3.95660"
"2007-02-14","6个月","2.87190"
"2007-02-15","1年","3.00270"
"2007-02-15","1天","3.09340"
"2007-02-15","14天","3.14950"
"2007-02-15","30天","3.16200"
"2007-02-15","6个月","2.87210"
"2007-02-15","90天","2.87920"
"2007-02-15","9个月","2.93260"
"2007-02-15","7天","3.48170"
"2007-02-16","1天","1.99400"
"2007-02-16","1年","3.00270"
"2007-02-16","6个月","2.87270"
"2007-02-16","7天","2.15130"
"2007-02-16","90天","2.87270"
"2007-02-16","9个月","2.93260"
"2007-02-16","30天","2.80760"
"2007-02-16","14天","2.06680"
"2007-02-17","1天","1.51430"
"2007-02-17","1年","3.00270"
"2007-02-17","9个月","2.93270"
"2007-02-17","14天","1.84430"
"2007-02-17","90天","2.86500"
"2007-02-17","30天","2.65570"
"2007-02-17","7天","1.51330"
