期权代码,交易代码,期权简称,标的代码,类型,认购/认沽,行权方式,行权价,合约单位,到期月份,上市日,到期日,行权日,行权交收日,上市首日参考价,挂牌原因,结算方式,交易状态
10000106,510050C1505M02550,50ETF购2015年5月2550,510050.SH,ETF期权,认购,欧式,2.55,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.1477,到期加挂,实物资产,退市
10000107,510050C1505M02600,50ETF购2015年5月2600,510050.SH,ETF期权,认购,欧式,2.6,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.1219,到期加挂,实物资产,退市
10000108,510050C1505M02650,50ETF购2015年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.1006,到期加挂,实物资产,退市
10000109,510050C1505M02700,50ETF购2015年5月2700,510050.SH,ETF期权,认购,欧式,2.7,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.0792,到期加挂,实物资产,退市
10000110,510050P1505M02500,50ETF沽2015年5月2500,510050.SH,ETF期权,认沽,欧式,2.5,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.0699,到期加挂,实物资产,退市
10000111,510050P1505M02550,50ETF沽2015年5月2550,510050.SH,ETF期权,认沽,欧式,2.55,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.0906,到期加挂,实物资产,退市
10000112,510050P1505M02600,50ETF沽2015年5月2600,510050.SH,ETF期权,认沽,欧式,2.6,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.1144,到期加挂,实物资产,退市
10000113,510050P1505M02650,50ETF沽2015年5月2650,510050.SH,ETF期权,认沽,欧式,2.65,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.1408,到期加挂,实物资产,退市
10000114,510050P1505M02700,50ETF沽2015年5月2700,510050.SH,ETF期权,认沽,欧式,2.7,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.1726,到期加挂,实物资产,退市
10000115,510050C1505M02750,50ETF购2015年5月2750,510050.SH,ETF期权,认购,欧式,2.75,10000,2015-05,2015-03-27,2015-05-27,2015-05-27,2015-05-28,0.0722,波动加挂,实物资产,退市
10000116,510050P1505M02750,50ETF沽2015年5月2750,510050.SH,ETF期权,认沽,欧式,2.75,10000,2015-05,2015-03-27,2015-05-27,2015-05-27,2015-05-28,0.1821,波动加挂,实物资产,退市
10000117,510050C1504M02850,50ETF购2015年4月2850,510050.SH,ETF期权,认购,欧式,2.85,10000,2015-04,2015-03-31,2015-04-22,2015-04-22,2015-04-23,0.0399,波动加挂,实物资产,退市
